"jahr","straftat","anzahl"
"2010","Tötungsdelikte (Art. 111 - 113/116)",2
"2010","Falscher Alarm (Art. 128bis)",0
"2010","Entreissdiebstahl (Art. 139)",5
"2010","Irreführung der Rechtspflege (Art. 304)",9
"2010","Freiheitsberaubung/Entführung (Art. 183)",2
"2010","Brandstiftung (Art. 221)",9
"2010","Betrügerischer Konkurs oder Pfändungsbetrug (Art. 163)",1
"2010","Gläubigerschädigung durch Vermögensminderung (Art. 164)",0
"2010","Störung der Glaubens- + Kultusfreiheit (Art. 261)",1
"2010","Gewaltdarstellungen (Art. 135)",0
"2010","Schreckung der Bevölkerung (Art. 258)",0
"2010","Fahrlässige Gefährdung (Art. 225)",1
"2010","Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136)",0
"2010","Sexuelle Nötigung (Art. 189)",7
"2010","Störung von Betrieben, die der Allgemeinheit dienen (Art. 239)",2
"2010","Störung des Totenfriedens (Art. 262)",0
"2010","Fahrlässige Tötung (Art. 117)",0
"2010","Unwahre Angaben über kaufmännische Gewerbe (Art. 152)",0
"2010","Verletzung der Fürsorge-/Erziehungspflicht (Art. 219)",18
"2010","In Umlaufsetzen falschen Geldes (Art. 242)",3
"2010","Landfriedensbruch (Art. 260)",0
"2010","Störung des öffentlichen Verkehrs (Art. 237)",1
"2010","Gefährdung durch Verletzung der Regeln der Baukunde (Art. 229)",3
"2010","Störung des Eisenbahnverkehrs (Art. 238)",4
"2010","Urkundenfälschung im Amt (Art. 317)",0
"2010","Verletzung des Post-/Fernmeldegeheimnisses (Art. 321ter)",2
"2010","Warenfälschung (Art. 155)",1
"2010","Nachmachen von Banknoten, Münzen oder amtlichen Wertzeichen ohne Fälschungsabsicht (Art. 243)",0
"2010","Unrechtmässige Verwendung von Vermögenswerten (Art. 141bis)",2
"2010","Verletzung des Fabrikations- oder Geschäftsgeheimnisses (Art. 162)",1
"2010","Unbefugtes Aufnehmen von Gesprächen (Art. 179ter)",1
"2010","Unbefugtes Beschaffen von Personendaten (Art. 179novies)",2
"2010","Inzest (Art. 213)",0
"2010","Gefährdung durch Sprengstoffe + giftige Gase in verbrecherischer Absicht (Art. 224)",0
"2010","Geldfälschung (Art. 240)",0
"2010","Missachtung eines Tätigkeitsverbots oder eines Kontakt- + Rayonverbots - bis 2015 Übertretung eines Berufsverbotes (Art. 294)",0
"2010","Begünstigung (Art. 305)",0
"2010","Verletzung des Berufsgeheimnisses (Art. 321)",0
"2010","Ungehorsam dritter Personen im Betreibungs-, Konkurs- + Nachlassverfahren (Art. 324)",0
"2010","Vernachlässigung von Unterhaltspflichten (Art. 217)",9
"2010","Unterlassung der Nothilfe (Art. 128)",1
"2010","Ausnützung der Notlage (Art. 193)",0
"2010","Verweisungsbruch (Art. 291)",0
"2010","Check- + Kreditkartenmissbrauch (Art. 148)",0
"2010","Unterdrückung von Urkunden (Art. 254)",1
"2010","Diskriminierung + Aufruf zu Hass - bis 2020 Rassendiskriminierung (Art. 261bis)",1
"2010","Unbefugtes Tragen der militärischen Uniform (Art. 331)",0
"2010","Verleitung/Beihilfe zum Selbstmord (Art. 115)",0
"2010","Aussetzung (Art. 127)",0
"2010","Unrechtmässige Entziehung von Energie (Art. 142)",0
"2010","Wucher (Art. 157)",0
"2010","Missbrauch von Lohnabzügen (Art. 159)",1
"2010","Bevorzugung eines Gläubigers (Art. 167)",0
"2010","Abhören + Aufnehmen fremder Gespräche (Art. 179bis)",0
"2010","Erschwerende Umstände (Art. 184)",0
"2010","Geiselnahme (Art. 185)",0
"2010","Sexuelle Handlungen mit Abhängigen (Art. 188)",0
"2010","Förderung der Prostitution (Art. 195)",0
"2010","Entziehen von Minderjährigen (Art. 220)",1
"2010","Verursachung einer Explosion (Art. 223)",1
"2010","Verursachen Überschwemmung/Einsturz (Art. 227)",0
"2010","Beseitigung/Nichtanbringung von Sicherheitsvorrichtungen (Art. 230)",1
"2010","Verbreiten menschlicher Krankheiten (Art. 231)",0
"2010","Verunreinigung von Trinkwasser (Art. 234)",1
"2010","Einführen, Erwerben, Lagern falschen Geldes (Art. 244)",0
"2010","Fälschung amtlicher Wertzeichen (Art. 245)",0
"2010","Öffentliche Aufforderung zu Verbrechen oder zur Gewalttätigkeit (Art. 259)",0
"2010","Strafbare Vorbereitungshandlungen (260bis)",0
"2010","Kriminelle + terroristische Organisationen - bis 2021 Kriminelle Organisation (Art. 260ter)",0
"2010","Gefährdung der öffentlichen Sicherheit mit Waffen (Art. 260quater)",0
"2010","Angriffe auf die verfassungsmässige Ordnung (Art. 275)",0
"2010","Störung des Militärdienstes (Art. 278)",0
"2010","Störung/Hinderung von Wahlen/Abstimmungen (Art. 279)",0
"2010","Wahlfälschung (Art. 282)",0
"2010","Bruch amtlicher Beschlagnahme (Art. 289)",0
"2010","Siegelbruch (Art. 290)",0
"2010","Mangelnde Sorgfalt bei Finanzgeschäften + Melderecht (Art. 305ter)",0
"2010","Falsche Beweisaussage der Partei (Art. 306)",0
"2010","Falsches Zeugnis/Gutachten/falsche Übersetzung (Art. 307)",1
"2010","Befreiung von Gefangenen (Art. 310)",1
"2010","Amtsmissbrauch (Art. 312)",1
"2010","Ungetreue Amtsführung (Art. 314)",0
"2010","Entweichenlassen von Gefangenen (Art. 319)",1
"2010","Verletzung des Amtsgeheimnisses (Art. 320)",1
"2010","Passive Bestechung schweizerischer Amtsträger (Art. 322quater)",0
"2010","Vorteilsannahme (Art. 322sexies)",0
"2010","Übertretung firmen- + namensrechtlicher Bestimmungen (Art. 326ter)",0
"2011","Fahrzeugdiebstahl (Art. 139)",886
"2011","Betrug (Art. 146)",105
"2011","Hausfriedensbruch + Diebstahl (Art. 186)",704
"2011","Diebstahl (Art. 139)",824
"2011","Sachbeschädigung + Diebstahl (Art. 144)",769
"2011","Einbruchdiebstahl (Art. 139)",591
"2011","Sachbeschädigung (Art. 144)",456
"2011","Ladendiebstahl (Art. 139)",170
"2011","Betrügerischer Missbrauch einer Datenverarbeitungsanlage (Art. 147)",116
"2011","Tätlichkeiten (Art. 126)",193
"2011","Unbefugte Datenbeschaffung (Art. 143)",47
"2011","Diebstahl ab/aus Fahrzeug (Art. 139)",139
